timestamp,feed_flow,feed_temp,feed_tds,feed_ph,evap_temp,evap_pressure,compressor_freq,compressor_power,pump_power,condensate_flow,concentrate_flow,total_power,cip_flag,alarm_flag
2025-01-01 00:00:00,12.27,32.88,80057.05,7.1,80.96,-71.72,41.96,291.66,71.53,10.56,1.82,363.19,1,0
2025-01-01 01:00:00,11.51,35.44,63825.64,7.07,79.79,-72.87,38.42,261.76,63.48,10.47,1.0,325.24,0,0
2025-01-01 02:00:00,13.54,32.38,80435.33,7.33,80.41,-71.28,44.89,402.77,75.0,11.73,1.77,477.76,0,0
2025-01-01 03:00:00,14.09,34.2,77401.27,6.91,82.19,-70.93,43.2,345.77,89.53,11.73,2.38,435.3,0,0
2025-01-01 04:00:00,11.8,35.58,83603.08,7.13,83.12,-70.76,44.52,309.83,82.81,9.75,2.18,392.63,0,0
2025-01-01 05:00:00,12.64,38.9,80666.23,7.14,81.08,-72.08,41.99,375.15,64.94,10.96,1.74,440.1,0,0
2025-01-01 06:00:00,14.09,37.67,88133.05,7.11,83.55,-71.16,44.09,419.34,71.65,11.72,2.27,490.99,0,0
2025-01-01 07:00:00,13.78,38.17,74128.31,7.1,84.0,-69.93,44.08,325.9,69.77,11.41,2.35,395.67,0,0
2025-01-01 08:00:00,14.06,35.54,82560.54,7.24,83.45,-69.64,45.59,486.69,84.33,12.29,2.06,571.02,0,0
2025-01-01 09:00:00,13.24,34.98,80120.69,7.26,84.78,-70.07,44.49,382.48,72.25,11.68,1.6,454.73,0,0
2025-01-01 10:00:00,14.67,36.09,74467.36,7.01,82.8,-69.4,44.27,394.77,80.53,12.58,2.22,475.3,0,0
2025-01-01 11:00:00,14.41,34.71,93640.2,7.49,82.77,-70.09,46.02,399.49,91.4,12.49,2.0,490.88,0,0
2025-01-01 12:00:00,13.58,34.31,85713.38,7.06,83.1,-69.46,45.12,401.5,76.08,11.78,1.84,477.58,0,0
2025-01-01 13:00:00,14.34,32.44,84443.41,7.26,79.91,-71.28,45.14,379.44,82.83,12.56,1.79,462.27,0,0
2025-01-01 14:00:00,13.57,32.08,91567.65,7.26,78.63,-72.27,44.63,416.28,78.92,11.81,1.89,495.21,0,0
2025-01-01 15:00:00,12.24,31.16,98393.91,7.43,79.01,-71.21,42.58,288.08,66.78,9.56,2.79,354.86,0,0
2025-01-01 16:00:00,13.26,31.31,82060.54,6.81,76.26,-73.77,44.9,383.04,81.35,11.31,2.0,464.39,0,0
2025-01-01 17:00:00,12.06,31.0,81733.71,7.57,76.64,-72.31,42.69,311.28,64.69,10.55,1.4,375.96,0,0
2025-01-01 18:00:00,13.77,27.99,91764.43,7.18,76.0,-73.93,44.4,366.84,84.34,11.65,2.18,451.18,0,0
2025-01-01 19:00:00,13.08,27.42,99622.87,7.65,77.51,-71.6,47.26,454.99,72.5,11.07,2.0,527.49,0,0
2025-01-01 20:00:00,13.17,31.76,95692.5,7.23,76.58,-73.24,43.24,491.25,70.82,11.42,1.71,562.07,0,0
2025-01-01 21:00:00,13.01,32.66,104546.44,7.33,77.37,-71.89,47.8,387.82,69.68,11.03,2.38,457.5,0,0
2025-01-01 22:00:00,15.07,30.87,99196.8,7.81,79.14,-73.44,46.84,490.53,76.54,13.37,1.47,567.07,0,0
2025-01-01 23:00:00,14.2,30.87,98903.87,7.25,79.37,-72.9,46.93,457.25,76.83,12.4,1.94,534.08,0,0
2025-01-02 00:00:00,14.35,34.29,93262.7,7.61,78.13,-72.71,45.17,398.81,64.06,12.21,2.01,462.87,0,0
2025-01-02 01:00:00,14.81,36.36,96754.68,7.3,79.67,-71.35,44.43,398.76,78.24,12.48,2.35,477.0,0,0
2025-01-02 02:00:00,15.97,38.4,101033.95,7.37,80.98,-70.25,48.41,527.32,83.07,12.27,4.09,610.39,0,0
2025-01-02 03:00:00,16.14,37.72,97571.36,7.26,81.89,-71.63,48.5,486.34,91.47,13.54,2.46,577.82,0,0
2025-01-02 04:00:00,16.44,37.32,98719.39,7.44,83.91,-69.38,49.12,581.79,90.7,13.4,2.93,672.49,0,0
2025-01-02 05:00:00,16.64,37.12,118275.95,7.03,84.65,-70.73,49.82,593.75,85.09,13.97,2.66,678.84,0,0
2025-01-02 06:00:00,18.28,38.37,106252.0,6.93,85.33,-69.33,47.44,588.27,90.05,15.48,2.67,678.32,0,0
2025-01-02 07:00:00,16.0,37.88,103842.0,6.99,84.79,-71.37,45.93,516.57,83.04,13.82,2.31,599.61,0,0
2025-01-02 08:00:00,15.84,36.64,105203.38,7.14,84.83,-69.77,51.46,534.56,96.97,13.85,1.91,631.53,0,0
2025-01-02 09:00:00,15.42,39.7,100928.54,7.04,83.63,-72.52,46.5,505.11,78.04,12.95,2.57,583.15,0,0
2025-01-02 10:00:00,16.5,38.58,92968.98,7.24,82.23,-71.96,50.1,520.55,84.78,14.94,1.36,605.33,0,0
2025-01-02 11:00:00,16.71,36.85,116206.14,7.36,83.08,-69.93,48.69,546.59,81.91,14.06,2.38,628.5,0,0
2025-01-02 12:00:00,15.31,33.36,106369.2,6.76,81.67,-71.98,47.65,469.88,74.55,12.39,2.88,544.43,0,0
2025-01-02 13:00:00,14.37,34.46,105472.36,6.79,80.14,-70.7,48.1,483.48,82.62,11.87,2.26,566.1,0,0
2025-01-02 14:00:00,14.12,33.25,111104.85,6.58,80.45,-70.0,46.19,489.42,79.82,11.7,2.65,569.23,0,0
2025-01-02 15:00:00,15.21,32.19,121143.29,7.42,76.06,-72.63,51.21,602.35,93.56,12.9,2.08,695.91,0,0
2025-01-02 16:00:00,15.12,32.53,110784.59,6.96,77.44,-72.19,48.98,515.7,90.08,12.2,2.77,605.78,0,0
2025-01-02 17:00:00,14.83,31.4,112097.55,6.97,77.12,-71.88,49.04,495.88,97.31,12.25,2.64,593.19,0,0
2025-01-02 18:00:00,13.7,31.39,108635.59,6.49,78.5,-71.74,46.81,454.64,77.25,11.38,2.23,531.89,0,0
2025-01-02 19:00:00,14.55,31.4,115989.88,6.8,79.3,-70.52,49.51,516.19,80.83,11.9,2.42,597.02,0,0
2025-01-02 20:00:00,14.56,31.44,117044.28,6.9,76.36,-71.32,50.88,481.68,75.69,12.36,2.5,557.37,0,0
2025-01-02 21:00:00,14.83,29.52,105888.45,6.69,79.72,-70.68,47.66,519.41,86.08,12.66,2.02,605.5,0,0
2025-01-02 22:00:00,15.65,32.58,100687.8,7.0,77.44,-69.66,50.82,535.26,87.64,13.58,2.04,622.91,0,0
2025-01-02 23:00:00,15.33,32.77,108887.18,7.29,78.57,-71.45,47.75,494.68,87.49,12.68,2.62,582.17,0,0
2025-01-03 00:00:00,16.02,32.93,118030.03,6.46,80.76,-68.71,51.17,615.68,81.59,13.74,2.39,697.27,0,0
2025-01-03 01:00:00,15.75,37.5,111761.04,6.43,81.38,-70.81,50.09,533.41,88.81,12.56,3.27,622.22,0,0
2025-01-03 02:00:00,16.2,38.51,116927.57,6.45,81.02,-70.07,48.55,548.96,88.2,12.89,3.19,637.16,0,0
2025-01-03 03:00:00,16.72,38.88,114954.71,7.06,84.11,-68.22,50.46,600.08,90.92,13.43,3.24,691.01,0,0
2025-01-03 04:00:00,14.99,38.17,113090.81,6.92,84.64,-68.06,48.87,500.35,79.21,12.44,2.51,579.56,0,0
2025-01-03 05:00:00,16.08,39.86,108764.11,6.62,85.27,-69.44,48.28,580.77,93.5,13.88,2.31,674.27,0,0
2025-01-03 06:00:00,15.93,38.37,115023.15,6.66,83.95,-69.31,49.91,549.24,99.43,13.04,2.71,648.67,0,0
2025-01-03 07:00:00,15.68,38.43,109064.51,6.45,84.08,-69.31,49.57,538.67,79.4,12.83,3.15,618.07,0,0
2025-01-03 08:00:00,15.82,36.45,111796.4,6.88,83.82,-70.34,49.74,515.7,90.97,13.0,2.71,606.67,0,0
2025-01-03 09:00:00,17.16,37.57,114674.74,6.57,85.24,-68.75,51.56,749.26,75.1,14.33,2.83,824.36,0,0
2025-01-03 10:00:00,14.71,36.31,102497.66,6.61,79.17,-70.25,47.76,508.27,85.63,12.11,2.43,593.89,0,0
2025-01-03 11:00:00,16.0,33.68,119451.36,6.83,80.91,-70.9,49.76,662.94,76.01,13.0,2.8,738.95,0,0
2025-01-03 12:00:00,13.22,34.11,111473.41,6.65,80.82,-71.04,47.28,427.12,73.35,10.55,2.54,500.46,0,0
2025-01-03 13:00:00,14.04,33.01,115052.68,6.65,78.82,-71.53,47.53,529.9,71.42,11.39,2.5,601.32,0,0
2025-01-03 14:00:00,14.11,34.26,104009.16,6.73,78.55,-73.65,51.44,552.96,81.23,12.15,1.9,634.2,0,0
2025-01-03 15:00:00,14.15,32.31,103349.21,6.95,77.95,-72.24,45.52,461.55,83.29,11.84,2.17,544.84,0,0
2025-01-03 16:00:00,13.98,30.57,112755.68,7.19,77.1,-73.71,47.39,503.79,67.86,11.3,2.78,571.65,0,0
2025-01-03 17:00:00,13.84,30.41,114542.37,6.95,77.6,-73.28,47.09,502.31,76.17,11.92,1.8,578.48,0,0
2025-01-03 18:00:00,12.67,29.99,115277.15,7.03,78.12,-70.23,50.4,462.84,73.99,10.22,2.31,536.83,0,0
2025-01-03 19:00:00,12.5,29.78,111751.36,6.8,77.18,-72.83,44.9,408.43,82.05,10.8,1.65,490.48,0,0
2025-01-03 20:00:00,13.7,29.08,101702.22,6.7,76.98,-73.2,47.91,501.79,81.09,11.87,1.98,582.88,0,0
2025-01-03 21:00:00,12.84,30.79,101463.92,7.07,77.85,-71.2,46.55,449.73,67.7,10.74,2.13,517.42,0,0
2025-01-03 22:00:00,12.0,30.85,99909.24,6.98,78.7,-72.56,46.04,351.08,68.89,9.55,2.44,419.98,0,0
2025-01-03 23:00:00,12.3,31.17,104234.68,6.61,77.77,-72.21,48.0,420.33,83.42,10.91,1.18,503.74,0,0
2025-01-04 00:00:00,12.69,34.26,101024.2,6.92,81.0,-69.38,48.18,407.37,79.74,10.66,1.86,487.11,0,0
2025-01-04 01:00:00,14.16,35.1,105018.91,7.01,81.03,-70.21,47.6,422.41,74.22,11.58,2.38,496.63,0,0
2025-01-04 02:00:00,14.01,33.4,100926.06,6.93,83.63,-70.5,48.34,515.47,78.18,11.9,2.31,593.65,0,0
2025-01-04 03:00:00,14.63,36.18,117137.13,7.46,84.11,-68.25,47.05,475.12,79.41,12.22,2.48,554.53,0,0
2025-01-04 04:00:00,13.69,38.1,94930.89,7.24,84.62,-68.9,47.42,460.14,74.86,11.8,1.76,535.0,0,0
2025-01-04 05:00:00,14.21,38.52,105941.9,7.49,82.91,-67.51,47.59,467.64,69.62,11.44,2.68,537.26,0,0
2025-01-04 06:00:00,14.54,38.56,95407.65,7.24,83.41,-69.32,47.79,512.95,77.03,12.18,2.24,589.97,0,0
2025-01-04 07:00:00,13.53,37.19,98461.54,7.22,82.43,-68.14,44.89,414.88,84.18,10.82,2.58,499.06,0,0
2025-01-04 08:00:00,13.97,35.67,102097.23,6.99,82.78,-67.18,48.76,476.67,77.7,11.75,2.3,554.37,0,0
2025-01-04 09:00:00,12.64,34.7,93003.91,7.25,84.1,-69.11,44.01,396.36,71.83,10.47,2.13,468.19,0,0
2025-01-04 10:00:00,12.53,35.53,109240.69,7.27,84.13,-68.44,47.6,460.31,75.37,10.37,2.48,535.68,0,0
2025-01-04 11:00:00,12.1,34.55,87650.08,6.94,79.72,-69.85,43.23,312.39,83.54,10.09,2.19,395.93,0,0
2025-01-04 12:00:00,10.92,34.54,92341.16,7.17,79.72,-70.93,43.22,362.6,66.52,9.03,2.09,429.12,0,0
2025-01-04 13:00:00,12.0,33.23,92950.99,7.24,79.25,-70.09,47.21,326.18,79.09,9.71,2.39,405.26,0,0
2025-01-04 14:00:00,10.72,30.73,91407.52,7.43,79.09,-70.59,45.43,373.42,63.61,9.09,1.56,437.03,0,0
2025-01-04 15:00:00,10.77,28.51,85241.73,7.45,75.6,-72.07,45.66,357.6,65.96,9.38,1.48,423.56,0,0
2025-01-04 16:00:00,10.87,28.93,90279.16,7.2,75.37,-71.86,47.0,356.1,68.85,8.85,1.97,424.95,0,0
2025-01-04 17:00:00,10.59,29.12,92056.19,7.47,77.37,-71.25,43.69,319.18,61.04,8.89,1.94,380.21,0,0
2025-01-04 18:00:00,10.62,28.42,88663.23,7.3,74.47,-72.36,46.65,348.6,66.5,8.9,1.78,415.09,0,0
2025-01-04 19:00:00,9.85,28.05,91481.47,6.63,76.33,-72.52,42.04,298.22,67.69,8.13,1.75,365.91,0,0
2025-01-04 20:00:00,9.55,29.4,82927.63,7.22,77.08,-72.65,43.72,273.57,57.56,7.62,1.95,331.13,0,0
2025-01-04 21:00:00,9.92,29.07,80184.05,7.61,77.83,-71.98,42.53,314.01,62.87,7.95,2.24,376.88,0,0
2025-01-04 22:00:00,8.6,29.7,81071.97,6.91,77.97,-72.09,40.56,231.74,61.95,7.02,1.37,293.69,0,0
2025-01-04 23:00:00,8.99,31.74,84771.62,7.35,78.68,-72.38,43.11,221.27,55.26,7.03,2.23,276.53,0,0
2025-01-05 00:00:00,9.29,31.87,79074.2,7.7,80.75,-70.94,43.79,297.37,68.16,8.08,1.18,365.52,0,1
2025-01-05 01:00:00,9.78,33.63,70471.54,7.1,80.77,-72.8,43.99,267.1,63.7,8.25,1.31,330.8,0,0
2025-01-05 02:00:00,11.21,34.58,77089.69,7.27,80.79,-71.89,44.6,324.61,67.24,9.33,1.76,391.85,0,0
2025-01-05 03:00:00,10.17,33.66,69668.99,6.92,82.04,-70.93,43.42,259.49,52.13,7.91,2.01,311.62,0,0
2025-01-05 04:00:00,10.73,35.04,78130.73,7.63,83.24,-71.14,44.67,291.71,64.49,8.45,2.38,356.2,0,0
2025-01-05 05:00:00,12.25,37.7,60656.34,7.18,84.52,-68.28,45.04,436.84,74.07,10.24,1.86,510.91,0,0
2025-01-05 06:00:00,10.7,34.67,76365.85,7.19,84.1,-69.93,44.59,306.62,77.05,9.44,1.28,383.67,0,0
2025-01-05 07:00:00,11.54,33.35,77135.24,7.49,84.47,-69.57,44.92,361.56,72.9,9.41,2.3,434.46,0,0
2025-01-05 08:00:00,9.82,33.21,86931.77,7.29,82.42,-70.83,44.69,312.78,70.59,8.37,1.35,383.38,0,0
2025-01-05 09:00:00,10.19,34.8,67952.53,6.87,81.37,-70.51,40.8,320.35,55.62,8.38,1.77,375.97,0,0
2025-01-05 10:00:00,9.18,33.94,64862.68,6.9,80.87,-71.8,41.4,270.99,59.15,7.72,1.26,330.13,0,0
2025-01-05 11:00:00,9.35,32.76,72392.54,7.15,80.36,-70.84,40.34,221.64,67.34,8.1,1.19,288.99,0,0
2025-01-05 12:00:00,10.02,33.28,58023.57,6.84,78.06,-72.05,42.73,301.82,57.96,8.31,2.09,359.79,0,0
2025-01-05 13:00:00,7.32,27.55,72286.86,6.44,80.1,-70.5,43.24,195.75,60.74,5.95,1.49,256.49,0,0
2025-01-05 14:00:00,8.9,30.24,70081.68,6.93,78.76,-72.87,41.57,255.03,63.49,7.71,1.15,318.52,0,0
2025-01-05 15:00:00,8.4,30.78,53074.15,6.54,76.21,-72.59,40.39,273.93,58.64,7.11,1.2,332.57,0,0
2025-01-05 16:00:00,7.39,26.88,65341.34,7.28,77.07,-69.7,41.36,195.48,52.21,6.39,1.0,247.69,0,0
2025-01-05 17:00:00,6.45,27.35,50129.0,6.9,75.79,-70.69,35.47,100.0,44.71,5.33,1.13,144.71,0,0
2025-01-05 18:00:00,7.71,26.75,64528.18,6.6,76.66,-69.67,40.06,228.27,65.34,6.7,0.95,293.61,0,0
2025-01-05 19:00:00,7.16,26.69,58041.01,6.62,74.31,-70.31,40.55,193.8,56.86,6.02,1.21,250.65,0,0
2025-01-05 20:00:00,7.91,27.75,55300.15,6.3,75.89,-70.49,36.2,197.32,57.36,6.73,1.04,254.68,0,0
2025-01-05 21:00:00,7.87,30.47,57072.23,6.48,76.6,-71.05,39.4,222.64,52.7,6.59,1.14,275.33,0,0
2025-01-05 22:00:00,9.5,31.77,70650.82,6.99,78.49,-70.94,44.53,258.86,62.93,7.75,1.8,321.8,0,0
2025-01-05 23:00:00,8.09,30.11,56085.07,7.27,77.51,-69.55,41.83,214.0,57.63,6.8,1.12,271.63,0,0
2025-01-06 00:00:00,7.67,33.82,47742.11,6.88,76.1,-71.02,40.25,152.84,56.99,6.36,1.41,209.84,0,0
2025-01-06 01:00:00,9.03,32.6,55899.09,6.66,78.82,-67.81,43.03,245.34,64.71,7.75,1.28,310.05,0,0
2025-01-06 02:00:00,9.34,35.62,47503.53,6.56,80.53,-69.91,41.86,254.3,55.94,7.77,1.29,310.24,0,0
2025-01-06 03:00:00,10.59,34.23,50429.31,6.42,81.48,-67.65,43.51,298.14,56.78,8.48,2.13,354.92,0,0
2025-01-06 04:00:00,10.3,35.13,60578.73,7.17,84.13,-68.83,42.51,274.92,64.57,8.17,1.88,339.49,0,0
2025-01-06 05:00:00,9.98,35.8,56502.6,6.6,83.14,-68.02,42.5,274.52,52.56,7.93,2.16,327.08,0,0
2025-01-06 06:00:00,11.02,39.31,53605.38,7.18,82.62,-67.96,42.4,330.32,64.36,9.39,1.59,394.68,0,0
2025-01-06 07:00:00,8.59,36.39,47000.08,7.0,82.18,-70.63,42.69,206.88,55.64,6.94,1.93,262.52,0,0
2025-01-06 08:00:00,8.97,34.12,42156.62,6.22,82.93,-70.19,42.76,259.24,62.91,7.63,1.51,322.15,0,0
2025-01-06 09:00:00,8.54,35.5,46451.87,6.5,80.64,-71.58,42.52,227.62,70.32,7.2,1.18,297.94,0,0
2025-01-06 10:00:00,8.79,33.08,50677.81,6.5,80.54,-71.92,40.48,267.8,46.6,7.35,1.13,314.4,0,0
2025-01-06 11:00:00,7.63,31.97,50057.23,6.66,78.63,-71.02,38.57,171.91,68.07,6.49,1.03,239.98,0,0
2025-01-06 12:00:00,9.16,32.63,55267.2,6.68,80.65,-71.12,43.52,244.39,59.6,7.69,1.29,303.99,0,0
2025-01-06 13:00:00,8.11,30.55,42352.01,7.46,78.21,-71.86,40.71,228.4,58.26,6.27,2.11,286.66,0,0
2025-01-06 14:00:00,6.73,29.9,47682.74,6.46,76.32,-71.89,39.97,157.33,43.05,5.56,1.17,200.38,0,0
2025-01-06 15:00:00,6.93,28.77,47391.63,6.81,76.24,-74.3,38.34,172.78,58.17,5.89,1.18,230.95,0,0
2025-01-06 16:00:00,7.98,28.54,39309.33,6.93,76.12,-71.51,40.28,226.73,55.87,7.05,0.89,282.6,0,0
2025-01-06 17:00:00,8.39,28.27,45079.55,6.8,75.12,-73.34,38.75,205.28,56.47,7.41,0.95,261.75,0,0
2025-01-06 18:00:00,9.44,25.32,50938.01,6.85,74.86,-72.35,42.95,270.65,49.95,7.55,1.89,320.6,0,0
2025-01-06 19:00:00,10.37,28.61,36666.24,6.59,74.41,-72.35,43.98,300.81,65.59,8.61,1.92,366.4,0,0
2025-01-06 20:00:00,8.3,27.06,52081.94,6.91,76.33,-70.75,43.69,249.87,63.43,6.56,1.79,313.31,0,0
2025-01-06 21:00:00,7.3,27.17,38156.11,7.04,75.69,-72.4,40.16,221.75,51.97,6.41,0.72,273.72,0,0
2025-01-06 22:00:00,6.59,29.69,50009.06,7.02,76.67,-73.6,37.58,212.52,58.13,5.66,1.18,270.65,0,0
2025-01-06 23:00:00,9.11,30.86,43183.26,7.11,76.34,-71.71,41.42,294.17,66.5,7.72,1.35,360.67,0,0
2025-01-07 00:00:00,8.53,31.0,36303.18,7.35,78.59,-70.6,43.31,246.45,55.02,7.2,1.26,301.47,0,0
2025-01-07 01:00:00,9.28,33.9,43838.04,7.26,79.44,-71.22,40.3,240.69,69.36,8.08,0.78,310.05,0,0
2025-01-07 02:00:00,9.48,32.29,42122.49,7.08,80.08,-69.81,41.46,280.19,61.18,8.23,1.35,341.37,0,0
