parent_material_id,child_material_id,quantity_per_unit,unit,yield_ratio,scrap_rate
MAT-007,MAT-004,0.4,kg,0.95,0.02
MAT-007,MAT-005,0.3,kg,0.92,0.02
MAT-007,MAT-014,0.01,kg,,0.0
MAT-008,MAT-004,0.35,kg,0.93,0.02
MAT-008,MAT-006,0.5,kg,0.94,0.02
MAT-008,MAT-014,0.01,kg,,0.0
MAT-009,MAT-020,0.6,kg,0.95,0.02
MAT-009,MAT-015,0.05,kg,,0.0
MAT-010,MAT-005,0.4,kg,0.94,0.02
MAT-010,MAT-017,0.2,kg,,0.0
MAT-004,MAT-001,0.8,kg,0.95,0.02
MAT-004,MAT-003,0.2,kg,0.93,0.02
MAT-005,MAT-002,0.7,kg,0.95,0.02
MAT-005,MAT-001,0.2,kg,0.96,0.02
MAT-006,MAT-016,0.6,kg,0.95,0.02
MAT-006,MAT-017,0.3,kg,0.93,0.02
MAT-020,MAT-001,0.5,kg,0.95,0.02
MAT-020,MAT-028,0.4,kg,0.95,0.02
MAT-021,MAT-004,0.5,kg,0.95,0.02
MAT-021,MAT-016,0.2,kg,,0.0
MAT-022,MAT-005,0.55,kg,0.94,0.02
MAT-022,MAT-017,0.1,kg,,0.0
MAT-023,MAT-006,0.4,kg,0.93,0.02
MAT-023,MAT-002,0.3,kg,,0.0
MAT-024,MAT-020,0.45,kg,0.94,0.02
MAT-024,MAT-003,0.15,kg,,0.0
MAT-025,MAT-004,0.6,kg,0.92,0.02
MAT-025,MAT-006,0.3,kg,0.92,0.02
