material_id,tank_id,batch,quantity,expiry_date
MAT-001,TANK-01,B20240701,3000,2026-12-31
MAT-002,TANK-02,B20240701,2000,2026-09-30
MAT-003,TANK-03,B20240701,500,2026-12-31
MAT-004,TANK-04,B20240701,1500,2026-12-31
MAT-005,TANK-05,B20240701,800,2026-10-31
MAT-006,TANK-06,B20240701,1000,2026-12-31
MAT-007,TANK-07,B20240701,2500,2026-12-31
MAT-008,TANK-08,B20240701,1800,2026-12-31
MAT-009,TANK-09,B20240701,1200,2026-12-31
MAT-010,TANK-10,B20240701,900,2026-12-31
MAT-013,TANK-11,B20240701,100,2026-08-31
MAT-014,TANK-12,B20240701,80,2026-08-31
MAT-015,TANK-13,B20240701,50,2026-12-31
MAT-016,TANK-14,B20240701,1500,2026-12-31
MAT-017,TANK-15,B20240701,600,2026-10-31
MAT-021,TANK-16,B20240701,2000,2026-12-31
MAT-022,TANK-17,B20240701,1200,2026-12-31
MAT-025,TANK-18,B20240701,300,2026-12-31
