id,customer_id,customer_tier,material_id,quantity,creation_date,due_date,unit
ORD-001,CUST-001,premium,MAT-007,500,2026-06-29,2026-07-07,kg
ORD-002,CUST-002,premium,MAT-008,300,2026-06-29,2026-07-14,kg
ORD-003,CUST-003,premium,MAT-021,400,2026-06-29,2026-07-07,kg
ORD-004,CUST-004,premium,MAT-001,1000,2026-06-29,2026-07-07,kg
ORD-005,CUST-005,premium,MAT-002,800,2026-06-29,2026-07-14,kg
ORD-006,CUST-006,premium,MAT-016,600,2026-06-29,2026-07-07,kg
ORD-007,CUST-007,premium,MAT-022,500,2026-06-29,2026-07-14,kg
ORD-008,CUST-008,premium,MAT-009,400,2026-06-29,2026-07-20,kg
ORD-009,CUST-009,premium,MAT-010,300,2026-06-29,2026-07-07,kg
ORD-010,CUST-010,premium,MAT-023,200,2026-06-29,2026-07-07,kg
ORD-011,CUST-011,comfort,MAT-001,800,2026-06-29,2026-07-14,kg
ORD-012,CUST-012,comfort,MAT-002,700,2026-06-29,2026-07-20,kg
ORD-013,CUST-013,comfort,MAT-007,600,2026-06-29,2026-07-14,kg
ORD-014,CUST-014,comfort,MAT-008,500,2026-06-29,2026-07-14,kg
ORD-015,CUST-015,comfort,MAT-016,500,2026-06-29,2026-07-14,kg
ORD-016,CUST-016,comfort,MAT-021,500,2026-06-29,2026-07-20,kg
ORD-017,CUST-017,comfort,MAT-022,400,2026-06-29,2026-07-14,kg
ORD-018,CUST-018,comfort,MAT-004,300,2026-06-29,2026-07-07,kg
ORD-019,CUST-019,comfort,MAT-005,300,2026-06-29,2026-07-14,kg
ORD-020,CUST-020,comfort,MAT-018,300,2026-06-29,2026-07-14,kg
ORD-021,CUST-021,comfort,MAT-019,200,2026-06-29,2026-07-07,kg
ORD-022,CUST-022,comfort,MAT-023,300,2026-06-29,2026-07-14,kg
ORD-023,CUST-023,comfort,MAT-024,200,2026-06-29,2026-07-14,kg
ORD-024,CUST-024,comfort,MAT-025,200,2026-06-29,2026-07-20,kg
ORD-025,CUST-025,comfort,MAT-001,700,2026-06-29,2026-07-20,kg
ORD-026,CUST-026,base,MAT-001,600,2026-06-29,2026-07-20,kg
ORD-027,CUST-027,base,MAT-002,500,2026-06-29,2026-07-20,kg
ORD-028,CUST-028,base,MAT-007,500,2026-06-29,2026-07-20,kg
ORD-029,CUST-029,base,MAT-008,400,2026-06-29,2026-07-20,kg
ORD-030,CUST-030,base,MAT-016,400,2026-06-29,2026-07-20,kg
ORD-031,CUST-031,base,MAT-021,400,2026-06-29,2026-07-20,kg
ORD-032,CUST-032,base,MAT-022,300,2026-06-29,2026-07-20,kg
ORD-033,CUST-033,base,MAT-004,300,2026-06-29,2026-07-20,kg
ORD-034,CUST-034,base,MAT-005,200,2026-06-29,2026-07-20,kg
ORD-035,CUST-035,base,MAT-018,200,2026-06-29,2026-07-20,kg
ORD-036,CUST-036,base,MAT-019,200,2026-06-29,2026-07-20,kg
ORD-037,CUST-037,base,MAT-023,200,2026-06-29,2026-07-20,kg
ORD-038,CUST-038,base,MAT-024,200,2026-06-29,2026-07-20,kg
ORD-039,CUST-039,base,MAT-025,200,2026-06-29,2026-07-20,kg
ORD-040,CUST-040,base,MAT-001,500,2026-06-29,2026-07-20,kg
ORD-041,CUST-041,base,MAT-002,400,2026-06-29,2026-07-20,kg
ORD-042,CUST-042,base,MAT-007,400,2026-06-29,2026-07-20,kg
ORD-043,CUST-043,base,MAT-008,300,2026-06-29,2026-07-20,kg
ORD-044,CUST-044,base,MAT-016,300,2026-06-29,2026-07-20,kg
ORD-045,CUST-045,base,MAT-021,300,2026-06-29,2026-07-20,kg
ORD-046,CUST-046,base,MAT-022,200,2026-06-29,2026-07-20,kg
ORD-047,CUST-047,base,MAT-018,200,2026-06-29,2026-07-20,kg
ORD-048,CUST-048,base,MAT-019,200,2026-06-29,2026-07-20,kg
ORD-049,CUST-049,base,MAT-023,200,2026-06-29,2026-07-20,kg
ORD-050,CUST-050,base,MAT-024,200,2026-06-29,2026-07-20,kg
