sheet,blend_key,blend_id,target_grade,seq,ratio,batch_id,weight,bloom,viscosity,t450,t620,moisture,so2,lot_no,sheet_ord,blend_month,blend_day,line,lot_ym,batch_yy,lot_year,lot_month
0101,0101#101@r0c0,101,,1,0.10441814595660749,C02A241844D1,529.4,104.9,2.83,57.4,82.5,10.68,,24120383,0,1,1,A线,2412,24,2024,12
0101,0101#101@r0c0,101,,2,0.0967258382642998,C02A241742A1,490.4,273.8,5.81,85.3,96.7,11.4,,24120138,0,1,1,A线,2412,24,2024,12
0101,0101#101@r0c0,101,,3,0.08615384615384615,C02A241742A2,436.8,268.1,5.81,85.0,96.1,11.38,,24120139,0,1,1,A线,2412,24,2024,12
0101,0101#101@r0c0,101,,4,0.12094674556213018,C02A241534C1,613.2,61.1,1.69,82.7,96.7,12.91,,24110253,0,1,1,A线,2411,24,2024,11
0101,0101#101@r0c0,101,,5,0.0901775147928994,C02A241791E1,457.2,268.1,5.68,91.9,98.9,11.88,,24120234,0,1,1,A线,2412,24,2024,12
0101,0101#101@r0c0,101,,6,0.09928994082840237,C02A241872B1,503.4,238.0,5.52,86.3,96.8,11.88,,24120440,0,1,1,A线,2412,24,2024,12
0101,0101#101@r0c0,101,,7,0.10678500986193293,C02A241844C2,541.4,94.2,2.64,53.1,80.3,11.95,,24120381,0,1,1,A线,2412,24,2024,12
0101,0101#101@r0c0,101,,8,0.09435897435897435,C02A241544B3,478.4,62.0,1.72,74.1,92.8,12.75,,24110272,0,1,1,A线,2411,24,2024,11
0101,0101#101@r0c0,101,,9,0.046548323471400394,C02A241881F2,236.0,253.4,5.46,86.8,97.0,12.52,,24120464,0,1,1,A线,2412,24,2024,12
0101,0101#101@r0c0,101,,10,0.053609467455621305,C02A241932B2,271.8,207.5,5.49,79.8,93.8,12.87,,24120606,0,1,1,A线,2412,24,2024,12
0101,0101#101@r0c0,101,,11,0.060078895463510855,C02A241924D1,304.6,106.3,2.64,63.1,86.9,13.1,,24120585,0,1,1,A线,2412,24,2024,12
0101,0101#101@r0c0,101,,12,0.04090729783037476,C02A241914B2,207.4,101.7,2.54,60.3,84.9,11.45,,24120555,0,1,1,A线,2412,24,2024,12
0102,0102#102@r0c0,102,,1,0.6624879459980714,C02A241841A1,137.4,198.9,4.06,77.7,92.6,,,24120361,1,1,2,A线,2412,24,2024,12
0102,0102#102@r0c0,102,,2,0.33751205400192863,1238,70.0,187.2,4.11,78.3,94.0,,,,1,1,2,其他,,,,
103-04,103-04#103@r0c0,103,220,1,0.08875351814010873,C02B241382A2,460.4,230.1,5.0,91.3,97.7,12.17,,24100175,2,1,3,B线,2410,24,2024,10
103-04,103-04#103@r0c0,103,220,2,0.09607896055827582,C02B241303A1,498.4,164.7,4.38,78.4,91.8,11.08,,24090164,2,1,3,B线,2409,24,2024,9
103-04,103-04#103@r0c0,103,220,3,0.09738982920152678,C02B241303A2,505.2,158.5,4.29,78.6,92.2,10.86,,24090165,2,1,3,B线,2409,24,2024,9
103-04,103-04#103@r0c0,103,220,4,0.0827774993252882,C02B241301H4,429.4,243.6,6.0,86.9,95.0,11.14,,24090159,2,1,3,B线,2409,24,2024,9
103-04,103-04#103@r0c0,103,220,5,0.10105255041061034,C02B241371B2,524.2,280.8,4.86,94.4,98.6,12.01,,24100148,2,1,3,B线,2410,24,2024,10
103-04,103-04#103@r0c0,103,220,6,0.10421405713845087,C02B241231C1,540.6,266.1,4.61,90.1,97.0,12.74,,24070286,2,1,3,B线,2407,24,2024,7
103-04,103-04#103@r0c0,103,220,7,0.08917762270116052,C02B241232A2,462.6,235.3,5.71,84.3,95.0,12.29,,24070294,2,1,3,B线,2407,24,2024,7
103-04,103-04#103@r0c0,103,220,8,0.04136947218259629,C02B241231F2,214.6,257.6,4.66,90.6,97.3,12.52,,24070292,2,1,3,B线,2407,24,2024,7
103-04,103-04#103@r0c0,103,220,9,0.10008867640821993,C02B241222A2,519.2,231.0,5.33,84.7,94.9,14.01,,24070270,2,1,3,B线,2407,24,2024,7
103-04,103-04#103@r0c0,103,220,10,0.0998187916875506,C02B241371C1,517.8,283.4,4.89,95.2,99.0,12.71,,24100150,2,1,3,B线,2410,24,2024,10
103-04,103-04#103@r0c0,103,220,11,0.09927902224621198,C02B241381E1,515.0,256.9,5.02,93.3,98.4,14.0,,24100172,2,1,3,B线,2410,24,2024,10
