sheet,blend_key,blend_id,target_grade,n_comp,row,col,spec_axis,stated_weight,calc_weight,stated_bloom,calc_bloom,stated_viscosity,calc_viscosity,stated_t450,calc_t450,stated_t620,calc_t620,stated_moisture,calc_moisture,stated_so2,calc_so2,sheet_ord,blend_month,blend_day
0101,0101#101@r0c0,101,,12,0,0,moisture,5070.0,5070.0,165.10766075,165.1076607495069,3.877915582,3.8779155818540434,75.664126233,75.66412623274162,92.041633136,92.04163313609467,12.01790572,12.017905719921105,,,0,1,1
0102,0102#102@r0c0,102,,2,0,0,,207.4,207.4,194.951108968,194.95110896817744,4.076875603,4.076875602700096,77.902507232,77.90250723240116,93.072516876,93.07251687560269,,,,,1,1,2
103-04,103-04#103@r0c0,103,220,11,0,0,moisture,5187.4,5187.4,236.508374137,236.5083741373328,4.972556194,4.97255619385434,87.921779697,87.92177969695803,96.05367236,96.05367235994912,12.34059259,12.340592589736671,,,2,1,3
103-04,103-04#104@r26c0,104,220,11,26,0,moisture,5125.0,5125.0,236.526181463,236.52618146341462,4.968086244,4.968086243902439,86.129322927,86.12932292682926,95.219769756,95.21976975609756,12.468421854,12.468421853658535,,,2,1,3
105,105#105@r0c0,105,,12,0,0,moisture,5129.6,5129.6,255.997290237,255.9972902370555,4.979076731,4.979076731129132,90.636829382,90.63682938240798,97.033152682,97.03315268247036,12.83941243,12.839412429819088,,,3,1,5
106,106#106@r0c0,106,,12,0,0,moisture,5266.4,5266.4,161.49988607,161.4998860701808,3.918077624,3.9180776241835034,77.696954276,77.69695427616588,92.565494455,92.56549445541546,11.882101625,11.882101625398755,,,4,1,6
107,107#107@r0c0,107,,10,0,0,moisture,5168.2,5168.2,159.410874192,159.41087419217524,3.902290546,3.9022905460315003,77.800766224,77.80076622421733,93.538454394,93.5384543941798,11.94219767,11.942197670368794,,,5,1,7
108,108#108@r0c0,108,,11,0,0,moisture,5043.4,5043.4,162.917769758,162.91776975849626,3.899286989,3.8992869889360358,77.018221834,77.01822183447675,92.934651227,92.93465122734663,11.883133997,11.88313399690685,,,6,1,8
109,109#109@r0c0,109,,11,0,0,moisture,5088.4,5088.4,162.064432828,162.0644328276079,3.901900794,3.901900793962739,76.126220423,76.12622042292273,92.319275214,92.31927521421272,11.91493554,11.914935539658833,,,7,1,9
110,110#110@r0c0,110,,11,0,0,moisture,5073.0,5073.0,217.162140745,217.16214074512123,4.959320718,4.959320717524148,78.598561009,78.59856100926473,93.323370787,93.32337078651686,13.139756436,13.139756436033906,,,8,1,10
110,110#111@r0c9,111,,12,0,9,,5056.8,5056.8,218.214269894,218.2142698940041,4.961851764,4.961851763961398,79.456332068,79.4563320677108,93.387391236,93.38739123556398,,,,,8,1,10
115,115#115@r0c0,115,,11,0,0,,5073.8,5073.8,217.500122196,217.50012219638143,4.974247704,4.974247703890575,78.18099255,78.18099254996254,92.762694627,92.76269462730103,,,,,9,1,15
116,116#116@r0c0,116,,10,0,0,,5049.2,5049.2,157.513958647,157.51395864691438,3.857335023,3.8573350233700388,75.134900578,75.13490057830944,77.123536402,77.12353640180622,,,,,10,1,16
117,117#117-2@r0c0,117-2,,12,0,0,moisture,4990.0,4990.0,161.973282565,161.97328256513023,3.908675351,3.908675350701403,76.091002004,76.09100200400802,92.58743487,92.58743486973948,11.89242004,11.892420040080161,,,11,1,17
117,117#117-1@r0c9,117-1,,12,0,9,moisture,5037.4,5037.4,161.675916147,161.67591614721883,3.898611585,3.898611585341645,76.918156192,76.91815619168618,92.788684639,92.78868463890103,11.854122365,11.854122364711955,,,11,1,17
118,118#118@r0c0,118,,2,0,0,,1052.0,1052.0,137.236368821,137.2363688212928,3.418201521,3.4182015209125476,73.426159696,73.4261596958175,91.365532319,91.36553231939165,,,,,12,1,18
119-20,119-20#119@r0c0,119,,11,0,0,,4557.0,4557.0,216.667518104,216.6675181040158,5.001280667,5.001280667105552,78.198542901,78.19854290103139,93.043563748,93.04356374807988,,,,,13,1,19
119-20,119-20#120@r0c9,120,,11,0,9,,5116.2,5116.2,216.17314804,216.17314803956063,4.973372034,4.973372033931434,79.407575935,79.40757593526445,93.324913021,93.32491302138305,,,,,13,1,19
121-23,121-23#121@r0c0,121,,13,0,0,,5120.6,5120.6,256.279787525,256.2797875248994,4.956048119,4.956048119361012,79.286310198,79.28631019802366,92.908479475,92.90847947506151,,,,,14,1,21
121-23,121-23#122@r0c8,122,,11,0,8,,5143.8,5143.8,216.075352852,216.0753528519771,4.968844434,4.968844434075974,79.529647342,79.52964734243166,93.608620086,93.60862008631752,,,,,14,1,21
121-23,121-23#123@r26c0,123,,12,26,0,,5121.6,5121.6,217.640620119,217.6406201187129,4.963997188,4.963997188378632,78.690245236,78.69024523586378,92.656825992,92.65682599187754,,,,,14,1,21
124-26,124-26#124@r0c0,124,,11,0,0,,5181.4,5181.4,99.815837418,99.81583741845834,2.782983364,2.782983363569692,67.996664994,67.99666499401707,88.598540935,88.59854093488246,,,,,15,1,24
124-26,124-26#125@r0c9,125,,8,0,9,,4594.2,4594.2,97.995189587,97.99518958687041,2.728292195,2.7282921945061163,68.397279178,68.39727917809412,88.285342388,88.28534238822864,,,,,15,1,24
124-26,124-26#126@r26c0,126,,5,26,0,,2070.4,2070.4,254.634138331,254.63413833075734,4.961679869,4.961679868624421,80.208945131,80.20894513137559,93.611939722,93.6119397217929,,,,,15,1,24
127,127#127@r0c0,127,200,12,0,0,,5085.0,5085.0,217.943052114,217.94305211406095,4.971371485,4.9713714847590955,77.790049164,77.79004916420845,92.554827925,92.5548279252704,,,,,16,1,27
128,128#128@r0c0,128,,11,0,0,moisture,5169.8,5169.8,158.803164532,158.8031645324771,3.888080003,3.888080003094897,77.658895895,77.65889589539248,93.065878757,93.06587875739874,11.700990754,11.70099075399435,,,17,1,28
131,131#131@r0c0,131,,14,0,0,moisture,5563.8,5563.8,158.328444588,158.32844458823106,3.881636292,3.8816362917430536,77.421258852,77.42125885186384,93.600704554,93.60070455444121,11.774413171,11.774413170854451,,,18,1,31
201-202,201-202#201@r0c0,201,,11,0,0,moisture,5045.0,5045.0,160.173446977,160.17344697720517,3.875411695,3.8754116947472745,77.788344896,77.78834489593658,93.772959366,93.77295936570863,11.648807136,11.648807135777998,,,19,2,1
201-202,201-202#202@r26c0,202,,10,26,0,moisture,5034.4,5034.4,159.66365406,159.66365406006673,3.897595344,3.897595344033053,78.306773399,78.30677339901479,93.926783728,93.9267837279517,11.92359447,11.923594470046083,,,19,2,1
204,204#204@r0c0,204,,11,0,0,moisture,5009.8,5009.8,158.708587169,158.70858716914847,3.877859396,3.8778593955846543,77.326807457,77.32680745738352,91.838129267,91.8381292666374,11.716050541,11.716050540939758,,,20,2,4
205,205#205@r0c0,205,,11,0,0,moisture,5084.2,5084.2,159.754765745,159.7547657448566,3.91974824,3.9197482396443886,77.008591322,77.00859132213523,93.554211085,93.55421108532316,11.86428858,11.864288580307619,,,21,2,5
206,206#206@r0c0,206,,2,0,0,,600.0,600.0,217.85,217.85,4.965,4.965,87.45,87.45,97.5,97.5,,,,,22,2,6
206,206#206@r26c0,206,,2,26,0,,600.0,600.0,218.57,218.57,4.9505,4.9505,87.43,87.43,97.72,97.72,,,,,22,2,6
207,207#207@r0c0,207,,11,0,0,moisture,5018.0,5018.0,217.805707453,217.8057074531686,4.972941411,4.9729414109206855,82.397273814,82.39727381426863,95.124615385,95.12461538461538,11.810435233,11.810435233160621,,,23,2,7
208-211,208-211#208@r0c0,208,,11,0,0,,5089.2,5089.2,177.69209699,177.69209698970369,4.080008253,4.080008252770573,78.242002672,78.24200267232571,93.371111373,93.37111137310383,,,,,24,2,8
208-211,208-211#209@r0c9,209,,11,0,9,,5069.4,5069.4,178.992326508,178.99232650806803,4.082417249,4.082417248589577,78.479646506,78.47964650648991,93.682372667,93.68237266737681,,,,,24,2,8
208-211,208-211#210@r26c0,210,,10,26,0,,5067.2,5067.2,178.598658036,178.5986580359962,4.079165614,4.07916561414588,79.52716293,79.52716293021787,93.972919956,93.97291995579414,,,,,24,2,8
208-211,208-211#211@r26c9,211,,11,26,9,,5072.6,5072.6,178.722497339,178.72249733864288,4.085971297,4.085971296770887,77.692733509,77.69273350944287,93.156164492,93.15616449158222,,,,,24,2,8
212-13,212-13#212@r0c0,212,,3,0,0,,1150.8,1150.8,141.20597845,141.2059784497741,3.759527285,3.7595272853667017,73.238095238,73.23809523809524,92.186826555,92.18682655543971,,,,,25,2,12
212-13,212-13#213@r0c9,213,,10,0,9,,3086.2,3086.2,281.573345862,281.57334586222544,5.012730218,5.01273021839155,83.233523427,83.23352342686799,94.664428747,94.66442874732681,,,,,25,2,12
214-15,214-15#214@r0c0,214,,10,0,0,moisture,5084.2,5084.2,239.270012981,239.27001298139336,4.966161441,4.966161441328036,92.6717399,92.67173990008261,97.829727391,97.82972739073995,12.85056174,12.85056174029346,,,26,2,14
214-15,214-15#215@r0c9,215,,12,0,9,moisture,5376.0,5376.0,243.486919643,243.48691964285712,4.988574777,4.988574776785715,89.283061756,89.28306175595237,96.177131696,96.17713169642857,12.487481771,12.487481770833334,,,26,2,14
218,218#218@r0c0,218,,11,0,0,moisture,5112.8,5112.8,182.049119856,182.04911985604755,4.070330543,4.070330542951025,77.902965107,77.90296510718198,93.791546706,93.79154670630575,11.304633078,11.304633077765608,,,28,2,18
219,219#219@r0c0,219,,6,0,0,,2469.6,2469.6,176.975558795,176.97555879494655,3.899860706,3.8998607061872366,79.553279883,79.55327988338193,94.34047619,94.3404761904762,,,,,29,2,19
JK,JK#2018@r0c0,2018,,11,0,0,so2,5132.2,5132.2,265.103667043,265.1036670433732,4.931656989,4.931656989205409,82.633237208,82.63323720821481,94.851923152,94.85192315186471,,,0.0,0.0,30,,
